seed,trial,snr,normalization_mode,tau,symbols,max_points,max_persistence,mean_persistence,persistence_entropy,normalized_entropy,h1_bar_count
0,0,30,shape_normalized,2,1000,200,1.0594907958099513,0.10468789587813002,1.5468795437442167,0.43866176840003956,34
0,1,30,shape_normalized,2,1000,200,1.0199150272856952,0.10378125827849922,1.536527194225849,0.44744697715209414,31
0,2,30,shape_normalized,2,1000,200,1.0702502925543138,0.07388230743398862,1.5142795959936504,0.4077690075199029,41
0,3,30,shape_normalized,2,1000,200,1.1046135642722712,0.07481594414534187,1.5069710876960536,0.42386035393247834,35
0,4,30,shape_normalized,2,1000,200,1.0949445086294038,0.10276633815081693,1.519762371889055,0.42409776479200506,36
0,5,30,shape_normalized,2,1000,200,1.0796424819421908,0.06252707410685247,1.5383699715689236,0.419911037444703,39
0,6,30,shape_normalized,2,1000,200,1.0802846812568656,0.07983364553989773,1.305912538438841,0.37032870840141546,34
0,7,30,shape_normalized,2,1000,200,1.0452258897783384,0.05878889616977487,1.3648027231117323,0.37253439547102263,39
0,8,30,shape_normalized,2,1000,200,1.0525107203605644,0.09011872029647885,1.349766670222037,0.3860328188896945,33
0,9,30,shape_normalized,2,1000,200,1.100943608218556,0.09244946576643558,1.5466463019414756,0.4283249687082718,37
0,0,25,shape_normalized,2,1000,200,1.0954758378492455,0.06128908694969996,1.7617159849085855,0.4437245480351649,53
0,1,25,shape_normalized,2,1000,200,0.4342262645112709,0.029348516117073287,2.0090191482350153,0.5084523485066853,52
0,2,25,shape_normalized,2,1000,200,1.0794504895693764,0.0922660938680426,1.6634900073716448,0.454063604778981,39
0,3,25,shape_normalized,2,1000,200,1.0984270336655235,0.06790210461454373,1.7901074174426235,0.4530491017358217,52
0,4,25,shape_normalized,2,1000,200,1.0771983522908832,0.07730095346680459,1.6809009066559712,0.45566707385392763,40
0,5,25,shape_normalized,2,1000,200,1.0907194054744949,0.06444538727535495,1.4800006911557366,0.419696364232875,34
0,6,25,shape_normalized,2,1000,200,1.026713829450295,0.06781195415350412,1.6528169171227076,0.43676905150531065,44
0,7,25,shape_normalized,2,1000,200,1.0283251642807958,0.08434852235388812,1.7182174479697505,0.45405162377939756,44
0,8,25,shape_normalized,2,1000,200,1.037639424119932,0.07108755959795854,1.7491667223320175,0.47744978556043055,39
0,9,25,shape_normalized,2,1000,200,1.0409800937813736,0.10392483646761329,1.6189762927969693,0.4553636563275733,35
0,0,20,shape_normalized,2,1000,200,0.9645006346228057,0.05820646690386421,2.0320225820617672,0.5221265182897215,49
0,1,20,shape_normalized,2,1000,200,1.0675946782828798,0.08170754851847853,1.9569232888824277,0.5028298171507202,49
0,2,20,shape_normalized,2,1000,200,0.9605677171489366,0.07212187253218649,2.0669726904593158,0.5257030406577642,51
0,3,20,shape_normalized,2,1000,200,0.9908351093059973,0.05542388873952391,2.2142299584318934,0.5430311772467663,59
0,4,20,shape_normalized,2,1000,200,0.9720432188931125,0.08312896408542646,2.0161095914956206,0.526586165354743,46
